morphind	root_morphind	root_pos_morphind	affix_morphind	affix_morphind_wclass	pref_morphind	suff_morphind	verb_tagged	n	ok	remark	kbbi_form_pos	gloss	semantics
ber+kait<v>+an_VSA	kait	v	ber-_an	ber-_v_an	ber-	an	TRUE	3985	TRUE	"based on ""kaitan""? Note that the frequency of ""kait"" is 35 tokens while ""kaitan"" returns 606 tokens. This suggests that ""kaitan"" is not parsed into ""kait"" and presumably is already represented as a complex form."	v		reciprocal-(spatial-)relationship
ber+sangkut<v>+an_VSA	sangkut	v	ber-_an	ber-_v_an	ber-	an	TRUE	2801	TRUE		v		reciprocal-(spatial-)relationship
ber+tuju<v>+an_VSA	tuju	v	ber-_an	ber-_v_an	ber-	an	TRUE	2569	FALSE	"based on ""tujuan""?"	v		
ber+hubung<v>+an_VSA	hubung	v	ber-_an	ber-_v_an	ber-	an	TRUE	2505	TRUE		v		reciprocal-(spatial-)relationship
ber+sama<a>+an_VSA	sama	a	ber-_an	ber-_a_an	ber-	an	TRUE	1224	TRUE		v		reciprocal-(spatial-)relationship
ber+lebih<a>+an_VSA	lebih	a	ber-_an	ber-_a_an	ber-	an	TRUE	1222	TRUE		a		random event
ber+tentang<v>+an_VSA	tentang	v	ber-_an	ber-_v_an	ber-	an	TRUE	975	TRUE		v		reciprocal-(spatial-)relationship
ber+hadap<v>+an_VSA	hadap	v	ber-_an	ber-_v_an	ber-	an	TRUE	665	TRUE		v		reciprocal-(spatial-)relationship
ber+ukur<v>+an_VSA	ukur	v	ber-_an	ber-_v_an	ber-	an	TRUE	551	FALSE	"based on ""ukuran""?"	v		
ber+kena<v>+an_VSA	kena	v	ber-_an	ber-_v_an	ber-	an	TRUE	531	TRUE		v		reciprocal-(spatial-)relationship
ber+jual<v>+an_VSA	jual	v	ber-_an	ber-_v_an	ber-	an	TRUE	476	TRUE		v		random event
ber+ganti<v>+an_VSA	ganti	v	ber-_an	ber-_v_an	ber-	an	TRUE	390	TRUE		v		reciprocal
ber+pakai<v>+an_VSA	pakai	v	ber-_an	ber-_v_an	ber-	an	TRUE	358	FALSE	"based on ""pakaian""?"	v		
ber+dekat<a>+an_VSA	dekat	a	ber-_an	ber-_a_an	ber-	an	TRUE	282	TRUE		v		reciprocal-(spatial-)relationship
ber+lawan<v>+an_VSA	lawan	v	ber-_an	ber-_v_an	ber-	an	TRUE	281	TRUE		v		reciprocal-(spatial-)relationship
ber+kenal<v>+an_VSA	kenal	v	ber-_an	ber-_v_an	ber-	an	TRUE	267	TRUE		v		reciprocal
ber+anggap<v>+an_VSA	anggap	v	ber-_an	ber-_v_an	ber-	an	TRUE	264	FALSE	"based on ""anggapan""?"	v		
ber+batas<n>+an_VSA	batas	n	ber-_an	ber-_n_an	ber-	an	TRUE	254	TRUE		v		reciprocal-(spatial-)relationship
